Tissue,Description,ZScore,MeanExp,Breadth,CV,NeighborMeanBreadth,NeighborMeanZscore,Label,Probability,,"Supplementary Table S2. Mouse knock out genes with phenotypes in 6 tissues. 191 genes whose germline deletion result in phenotypic aberration that could be unambiguously ascribed to one of the 6 tissues - Heart, Breast, Thyroid, Muscle, Lung, and Ovary. The tables shows a few key feature values for these genes and the overall score for tissue relevance as computed by FUGUE. ",,,,,,,,,,,,,,
Heart,SDHA,1.99352849,243.288498,0.8466899,0.5795396,0.26482958,-0.3771333,P,0.98538315,,,,,,,,,,,,,,,,
Heart,TNNT2,3.95548463,2449.0708,1,0.45822904,0.4184669,0.20590842,P,0.98209828,,,,,,,,,,,,,,,,
Heart,ACTN2,1.19982183,507.696777,0.99767712,0.60420245,0.34713081,-0.2955134,P,0.97660792,,,,,,,,,,,,,,,,
Heart,SCN5A,3.60689068,38.1071663,0.99767712,0.63196856,0.35816412,-0.0263409,P,0.97448921,,,,,,,,,,,,,,,,
Heart,MYH6,3.01634264,2784.5127,0.99767712,1.01731849,0.24058892,-0.5032021,P,0.97187984,,,,,,,,,,,,,,,,
Heart,TMOD1,1.09591222,106.306709,0.86875726,0.56820971,0.23640587,-0.4188263,U,0.97141719,,,,,,,,,,,,,,,,
Heart,MYBPC3,3.80667782,1131.20801,1,0.55064219,0.59974559,0.63461839,P,0.97130716,,,,,,,,,,,,,,,,
Heart,TPM1,1.89365637,1118.81628,0.96515679,0.53922766,0.26602357,-0.3793409,P,0.96623927,,,,,,,,,,,,,,,,
Heart,GPD1L,1.22296762,80.982254,0.77351916,0.72046959,0.47456446,0.20617077,P,0.96384686,,,,,,,,,,,,,,,,
Heart,CASQ2,2.74634147,439.576233,0.99651568,0.64486516,0.20584819,-0.5559054,P,0.96101403,,,,,,,,,,,,,,,,
Heart,ACTC1,3.51086307,3179.70044,1,0.69057465,0.21407298,-0.4873115,P,0.960518,,,,,,,,,,,,,,,,
Heart,RYR2,3.25684452,84.8055954,0.97444832,0.72983313,0.25775038,-0.3079404,P,0.95808655,,,,,,,,,,,,,,,,
Heart,TTN,0.48800808,61.5971603,1,0.57712978,0.31278358,-0.3291659,P,0.95247549,,,,,,,,,,,,,,,,
Heart,GATA4,1.80097318,48.2902946,1,0.47587636,0.26806039,-0.3351467,P,0.95056558,,,,,,,,,,,,,,,,
Heart,PLN,1.69257617,662.02002,0.9825784,0.73162764,0.59645233,0.42456397,P,0.94907433,,,,,,,,,,,,,,,,
Heart,NPPA,2.64378119,16279.5117,0.95121951,1.28643918,0.29351253,-0.3203348,P,0.94804525,,,,,,,,,,,,,,,,
Heart,DES,0.85358173,6899.55029,0.99883856,0.56699574,0.39121177,-0.1507141,P,0.94601369,,,,,,,,,,,,,,,,
Heart,XIRP1,2.01374555,283.717712,1,1.44208694,0.4963705,0.17930536,U,0.94396657,,,,,,,,,,,,,,,,
Heart,CAV3,0.69374883,11.7738953,0.99883856,0.58574784,0.25346579,-0.4207435,P,0.93907452,,,,244,,,,,,,,,,,,
Heart,MYH7,1.60564125,2733.91406,0.99883856,1.09310293,0.39639954,-0.1663002,P,0.93760544,,,,215,,,,,,,,,,,,
Heart,SNTA1,0.90450835,130.257065,0.92915215,0.43087628,0.28822357,-0.3431273,P,0.93480885,,,,41,,,,,,,,,,,,
Heart,LDB3,1.89956486,324.782379,0.99535424,0.56122059,0.44134727,0.08321782,P,0.93469709,,,,,,,,,,,,,,,,
Heart,NKX2-5,3.71711326,114.257622,1,0.54739797,0.22388993,-0.4402399,P,0.92945302,,,,,,,,,,,,,,,,
Heart,LRRC10,3.15599346,14.918829,1,0.9312551,0.1010453,-0.5678268,U,0.92920589,,,,,,,,,,,,,,,,
Heart,TNNI3,3.54163933,3601.81592,1,0.70144087,0.76359413,0.99890783,P,0.92555666,,,,,,,,,,,,,,,,
Heart,PKP2,2.94026065,56.6445541,0.96283391,0.76663959,0.26982283,-0.5005959,P,0.9252947,,,,,,,,,,,,,,,,
Heart,PRKAG2,1.61971724,45.1468582,0.78977933,0.96972388,0.18880235,-0.5149718,P,0.92383099,,,,,,,,,,,,,,,,
Heart,YME1L1,-0.8708554,21.7552204,0.07317073,0.4838233,0.34084853,-0.1183253,U,0.91906965,,,,,,,,,,,,,,,,
Heart,BMPR1A,-0.6228889,4.29422569,0.1533101,0.53634876,0.18383559,-0.524269,U,0.91864544,,,,,,,,,,,,,,,,
Heart,MYOZ2,3.38343978,412.407227,1,0.56884646,0.44444444,0.01160095,P,0.91169465,,,,,,,,,,,,,,,,
Heart,MYPN,0.82414782,31.718256,0.99767712,0.78357434,0.44291863,0.12522099,P,0.90604877,,,,,,,,,,,,,,,,
Heart,TBX20,3.0051713,15.4717922,1,0.96578509,0.11033682,-0.6792301,P,0.90179276,,,,,,,,,,,,,,,,
Heart,PDLIM5,1.21181846,74.5073776,0.88850174,0.59629846,0.12412201,-0.7379708,U,0.90111738,,,,,,,,,,,,,,,,
Heart,GJA1,-0.4834997,66.4051895,0.23344948,0.68535638,0.23564432,-0.4800242,P,0.89882624,,,,,,,,,,,,,,,,
Heart,RAF1,-0.4944286,71.2112656,0.23809524,0.45052916,0.18185049,-0.5985317,P,0.89558637,,,,,,,,,,,,,,,,
Heart,BMPR2,-0.6115956,10.2262201,0.10569106,0.46010545,0.24088644,-0.4173313,P,0.89360166,,,,,,,,,,,,,,,,
Heart,TNNC1,1.26346576,2604.4895,1,0.66498727,0.61619681,0.47636741,P,0.89192963,,,,,,,,,,,,,,,,
